appid,discount_percent,review_volume,type
292030,70.01750437609402,479.0,AAA
292030,0.0,252.0,AAA
292030,70.01750437609402,521.0,AAA
292030,0.0,185.0,AAA
292030,70.01750437609402,373.0,AAA
292030,0.0,177.0,AAA
292030,70.01750437609402,1065.0,AAA
292030,0.0,330.0,AAA
292030,0.0,333.0,AAA
292030,70.01750437609402,540.0,AAA
292030,0.0,165.0,AAA
292030,0.0,145.0,AAA
292030,80.02000500125031,475.0,AAA
292030,0.0,133.0,AAA
292030,80.02000500125031,320.0,AAA
292030,0.0,300.0,AAA
292030,0.0,247.0,AAA
292030,80.02000500125031,261.0,AAA
292030,0.0,147.0,AAA
292030,80.02000500125031,354.0,AAA
292030,0.0,110.0,AAA
292030,80.02000500125031,331.0,AAA
292030,0.0,122.0,AAA
292030,80.02000500125031,491.0,AAA
292030,20.02002002002002,232.0,AAA
292030,0.0,160.0,AAA
292030,80.02000500125031,224.0,AAA
292030,0.12499999999999734,284.0,AAA
292030,0.0,314.0,AAA
292030,80.02000500125031,635.0,AAA
292030,0.0,262.0,AAA
292030,80.02000500125031,758.0,AAA
292030,0.0,369.0,AAA
292030,0.0,139.0,AAA
292030,80.02000500125031,195.0,AAA
292030,0.0,89.0,AAA
292030,80.02000500125031,160.0,AAA
292030,0.0,117.0,AAA
292030,80.02000500125031,179.0,AAA
292030,0.0,107.0,AAA
292030,80.02000500125031,263.0,AAA
292030,0.0,129.0,AAA
292030,80.02000500125031,173.0,AAA
292030,0.0,106.0,AAA
292030,80.02000500125031,254.0,AAA
292030,0.0,128.0,AAA
292030,80.02000500125031,913.0,AAA
292030,0.0,295.0,AAA
292030,80.02000500125031,370.0,AAA
292030,0.0,468.0,AAA
292030,80.02000500125031,558.0,AAA
292030,0.0,286.0,AAA
292030,33.36113427856547,138.0,AAA
292030,80.02000500125031,172.0,AAA
292030,33.36113427856547,103.0,AAA
292030,80.02000500125031,179.0,AAA
292030,33.36113427856547,145.0,AAA
292030,80.02000500125031,209.0,AAA
292030,80.02000500125031,265.0,AAA
292030,33.36113427856547,188.0,AAA
292030,33.36113427856547,141.0,AAA
292030,80.02000500125031,226.0,AAA
292030,20.02002002002002,123.0,AAA
292030,80.02000500125031,278.0,AAA
292030,20.02002002002002,186.0,AAA
292030,80.02000500125031,254.0,AAA
292030,20.02002002002002,127.0,AAA
292030,80.02000500125031,211.0,AAA
292030,80.02000500125031,413.0,AAA
292030,20.02002002002002,105.0,AAA
292030,80.02000500125031,197.0,AAA
292030,0.0,144.0,AAA
292030,90.0225056264066,357.0,AAA
292030,60.06006006006006,188.0,AAA
292030,90.0225056264066,272.0,AAA
292030,60.06006006006006,140.0,AAA
292030,90.0225056264066,240.0,AAA
292030,60.06006006006006,93.0,AAA
292030,90.0225056264066,208.0,AAA
292030,60.06006006006006,233.0,AAA
292030,90.0225056264066,291.0,AAA
292030,50.06257822277847,138.0,AAA
292030,90.0225056264066,350.0,AAA
292030,50.06257822277847,296.0,AAA
292030,90.0225056264066,308.0,AAA
292030,50.06257822277847,172.0,AAA
292030,90.0225056264066,280.0,AAA
292030,50.06257822277847,110.0,AAA
292030,90.0225056264066,182.0,AAA
292030,90.0225056264066,90.0,AAA
271590,0.16669444907484818,238.0,AAA
271590,0.16669444907484818,209.0,AAA
271590,0.16669444907484818,81.0,AAA
271590,0.0,99.0,AAA
271590,33.00550091681948,231.0,AAA
271590,0.0,134.0,AAA
271590,33.00550091681948,182.0,AAA
271590,0.0,71.0,AAA
271590,40.006667777962996,174.0,AAA
271590,0.0,193.0,AAA
271590,40.006667777962996,144.0,AAA
271590,0.0,150.0,AAA
271590,40.006667777962996,264.0,AAA
271590,0.0,155.0,AAA
271590,40.006667777962996,408.0,AAA
271590,10.450360786265229,123.0,AAA
271590,40.006667777962996,240.0,AAA
271590,10.450360786265229,133.0,AAA
271590,40.006667777962996,173.0,AAA
271590,10.450360786265229,59.0,AAA
271590,40.006667777962996,136.0,AAA
271590,0.0,63.0,AAA
271590,40.006667777962996,193.0,AAA
271590,10.450360786265229,91.0,AAA
271590,40.006667777962996,126.0,AAA
271590,10.450360786265229,79.0,AAA
271590,40.006667777962996,132.0,AAA
271590,10.450360786265229,57.0,AAA
271590,40.006667777962996,119.0,AAA
271590,0.0,72.0,AAA
271590,40.006667777962996,125.0,AAA
271590,0.0,46.0,AAA
271590,50.008334722453746,2005.0,AAA
271590,0.0,74.0,AAA
271590,50.008334722453746,118.0,AAA
271590,50.008334722453746,608.0,AAA
271590,0.0,49.0,AAA
271590,50.008334722453746,130.0,AAA
271590,0.0,99.0,AAA
271590,50.008334722453746,201.0,AAA
271590,16.671297582661857,81.0,AAA
271590,50.008334722453746,187.0,AAA
271590,50.008334722453746,444.0,AAA
271590,0.0,141.0,AAA
271590,50.008334722453746,244.0,AAA
271590,16.671297582661857,82.0,AAA
271590,50.008334722453746,94.0,AAA
271590,0.0,96.0,AAA
271590,50.008334722453746,179.0,AAA
271590,0.0,88.0,AAA
271590,50.008334722453746,1555.0,AAA
271590,0.04166666666667318,383.0,AAA
271590,60.01000166694449,657.0,AAA
271590,20.00666888962988,384.0,AAA
271590,60.01000166694449,757.0,AAA
271590,20.00666888962988,15.0,AAA
271590,0.0,29.0,AAA
271590,34.01133711237079,151.0,AAA
271590,0.0,96.0,AAA
271590,34.01133711237079,668.0,AAA
271590,34.01133711237079,70.0,AAA
271590,0.0,45.0,AAA
271590,34.01133711237079,81.0,AAA
271590,0.0,55.0,AAA
271590,34.01133711237079,59.0,AAA
271590,0.0,63.0,AAA
271590,34.01133711237079,1252.0,AAA
271590,0.0,70.0,AAA
271590,50.01667222407469,240.0,AAA
271590,0.0,81.0,AAA
271590,50.01667222407469,249.0,AAA
271590,0.0,97.0,AAA
271590,50.01667222407469,140.0,AAA
271590,0.0,59.0,AAA
271590,50.01667222407469,134.0,AAA
271590,0.0,85.0,AAA
271590,50.01667222407469,183.0,AAA
271590,0.0,108.0,AAA
271590,50.01667222407469,143.0,AAA
271590,0.0,91.0,AAA
271590,50.01667222407469,100.0,AAA
271590,0.0,261.0,AAA
271590,0.0,3592.0,AAA
271590,50.01667222407469,1503.0,AAA
271590,0.0,882.0,AAA
271590,50.01667222407469,1399.0,AAA
271590,0.0,869.0,AAA
271590,50.01667222407469,1756.0,AAA
271590,0.0,941.0,AAA
271590,50.01667222407469,4689.0,AAA
271590,0.0,893.0,AAA
271590,50.01667222407469,1241.0,AAA
271590,0.0,794.0,AAA
271590,50.01667222407469,1508.0,AAA
271590,0.0,459.0,AAA
271590,50.01667222407469,505.0,AAA
271590,0.0,339.0,AAA
271590,50.01667222407469,523.0,AAA
271590,0.0,295.0,AAA
271590,50.01667222407469,484.0,AAA
271590,0.0,489.0,AAA
271590,50.01667222407469,590.0,AAA
271590,0.0,359.0,AAA
271590,50.01667222407469,615.0,AAA
271590,0.0,509.0,AAA
271590,50.01667222407469,945.0,AAA
271590,24.254674077817075,472.0,AAA
271590,50.0,628.0,AAA
271590,0.0,445.0,AAA
271590,38.47798204360838,668.0,AAA
271590,52.00133422281521,942.0,AAA
271590,4.002668445630418,965.0,AAA
271590,52.00133422281521,804.0,AAA
