"DateTime","Followers"
"2020-03-27 00:00:00",52077
"2020-03-28 00:00:00",52114
"2020-03-29 00:00:00",52148
"2020-03-30 00:00:00",52187
"2020-03-31 00:00:00",52224
"2020-04-01 00:00:00",52259
"2020-04-02 00:00:00",52288
"2020-04-03 00:00:00",52319
"2020-04-04 00:00:00",52353
"2020-04-05 00:00:00",52381
"2020-04-06 00:00:00",52415
"2020-04-07 00:00:00",52449
"2020-04-08 00:00:00",52457
"2020-04-09 00:00:00",52475
"2020-04-10 00:00:00",52497
"2020-04-11 00:00:00",52517
"2020-04-12 00:00:00",52534
"2020-04-13 00:00:00",52558
"2020-04-14 00:00:00",52567
"2020-04-15 00:00:00",52582
"2020-04-16 00:00:00",52594
"2020-04-17 00:00:00",52614
"2020-04-18 00:00:00",52641
"2020-04-19 00:00:00",52648
"2020-04-20 00:00:00",52668
"2020-04-21 00:00:00",52689
"2020-04-22 00:00:00",52705
"2020-04-23 00:00:00",52721
"2020-04-24 00:00:00",52735
"2020-04-25 00:00:00",52762
"2020-04-26 00:00:00",52782
"2020-04-27 00:00:00",52802
"2020-04-28 00:00:00",52819
"2020-04-29 00:00:00",52842
"2020-04-30 00:00:00",52870
"2020-05-01 00:00:00",52876
"2020-05-02 00:00:00",52889
"2020-05-03 00:00:00",52889
"2020-05-04 00:00:00",52912
"2020-05-05 00:00:00",52918
"2020-05-06 00:00:00",52939
"2020-05-07 00:00:00",52952
"2020-05-08 00:00:00",52973
"2020-05-09 00:00:00",52989
"2020-05-10 00:00:00",53000
"2020-05-11 00:00:00",53020
"2020-05-12 00:00:00",53030
"2020-05-13 00:00:00",53055
"2020-05-14 00:00:00",53072
"2020-05-15 00:00:00",53083
"2020-05-16 00:00:00",53102
"2020-05-17 00:00:00",53121
"2020-05-18 00:00:00",53134
"2020-05-19 00:00:00",53211
"2020-05-20 00:00:00",53282
"2020-05-21 00:00:00",53331
"2020-05-22 00:00:00",53399
"2020-05-23 00:00:00",53438
"2020-05-24 00:00:00",53472
"2020-05-25 00:00:00",53502
"2020-05-26 00:00:00",53536
"2020-05-27 00:00:00",53567
"2020-05-28 00:00:00",53588
"2020-05-29 00:00:00",53612
"2020-05-30 00:00:00",53647
"2020-05-31 00:00:00",53674
"2020-06-01 00:00:00",53698
"2020-06-02 00:00:00",53726
"2020-06-03 00:00:00",53738
"2020-06-04 00:00:00",53758
"2020-06-05 00:00:00",53765
"2020-06-06 00:00:00",53780
"2020-06-07 00:00:00",53795
"2020-06-08 00:00:00",53804
"2020-06-09 00:00:00",53817
